Основное средство;Инвентарный номер;Подразделение;Дата принятия к учету
Установка отоларингологическая ATMOS S 61 Servant;БП-001167;МСК-СВЛ Хирургическое отделение №1;24.08.2023
Видеоинформационный эндоскопический центр CV-190 PLUS;БП-000109;МСК-СВЛ Хирургическое отделение №1;17.01.2022
Видеоинформационный эндоскопический центр CV-190 PLUS;БП-000110;МСК-СВЛ Хирургическое отделение №1;17.01.2022
Видеоколоноскоп OLYMPUS, вариант исполнения CF-H170L;БП-000111;МСК-СВЛ Хирургическое отделение №1;17.01.2022
"Монитор прикроватный IMEC 8 ""MINDRAY""";БП-000983;МСК-СВЛ Хирургическое отделение №1;07.02.2023
Аспиратор KV-6;БП-001050;МСК-СВЛ Хирургическое отделение №1;14.04.2023
Видеоколоноскоп OLYMPUS, вариант исполнения CF-H170L;БП-000112;МСК-СВЛ Хирургическое отделение №1;17.01.2022
Видеоскоп гастроинтестинальный OLYMPUS, вариант исполнения GIF-H170;БП-000113;МСК-СВЛ Хирургическое отделение №1;17.01.2022
Видеоскоп гастроинтестинальный OLYMPUS, вариант исполнения GIF-H170;БП-000114;МСК-СВЛ Хирургическое отделение №1;17.01.2022
Стол для осмотра и ухода(USB-04), без доп. принадлежностей;УПК005850;МСК-СВЛ Хирургическое отделение №1;28.04.2012
Монитор медицинский высокого разрешения для передачи изображений при проведении эндоскопии;БП-000115;МСК-СВЛ Хирургическое отделение №1;17.01.2022
Оборудование эндоскопическое Karl Storz для визуализации и обработки изображения;УПК006843;МСК-СВЛ Хирургическое отделение №1;08.04.2013
Монитор медицинский высокого разрешения для передачи изображений при проведении эндоскопии;БП-000116;МСК-СВЛ Хирургическое отделение №1;17.01.2022
Стойка передвижная медицинская многофункциональная WEIKO серии PROFESSIONAL, модели BF DUAL 5.1;БП-000117;МСК-СВЛ Хирургическое отделение №1;17.01.2022
Стойка передвижная медицинская многофункциональная WEIKO серии PROFESSIONAL, модели BF DUAL 5.1;БП-000118;МСК-СВЛ Хирургическое отделение №1;17.01.2022
Гастроинтестинальный видеоскоп GIF-H180J, стандартная комплектация;БП-000213;МСК-СВЛ Хирургическое отделение №1;05.05.2022
Гастроинтестинальный видеоскоп GIF-H180J, стандартная комплектация;БП-000214;МСК-СВЛ Хирургическое отделение №1;05.05.2022
Эндоскопический ксеноновый источник света CLV-190;БП-000119;МСК-СВЛ Хирургическое отделение №1;17.01.2022
Эндоскопический ксеноновый источник света CLV-190;БП-000120;МСК-СВЛ Хирургическое отделение №1;17.01.2022
Установка отоларингологическая Atmos S61 Servant ENT workstation с принадлежностями;УФА000222;МСК-СВЛ Хирургическое отделение №1;20.09.2016
Кресло пациента МС-4000;БП-001324;МСК-СВЛ Хирургическое отделение №1;18.01.2024
"Тележка медицинская реанимационная ""Медин Эллис-01""";УПК007934;МСК-СВЛ Хирургическое отделение №1;21.06.2019
Аудиометр МА 52;УПК007005;МСК-СВЛ Хирургическое отделение №1;31.03.2014
Аппарат лазерный терапевтический Матрикс-Уролог;УПК006891;МСК-СВЛ Хирургическое отделение №1;30.07.2013
Кресло гинекологическое КГМ-3П;УПК006747;МСК-СВЛ Хирургическое отделение №1;10.12.2014
Вакуумная печь V-Lab special;БП-001345;МСК-СВЛ Хирургическое отделение №1;18.03.2024
Осветитель медицинский налобный ML4 LED;УПК007702;МСК-СВЛ Хирургическое отделение №1;07.02.2019
Фирменный подиум Fit station;БП-001348;МСК-СВЛ Хирургическое отделение №1;18.03.2024
Вакуумные подушки Silicon bags;БП-001347;МСК-СВЛ Хирургическое отделение №1;18.03.2024
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;УПК005765;МСК-СВЛ Хирургическое отделение №1;11.04.2012
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;УПК005763;МСК-СВЛ Хирургическое отделение №1;11.04.2012
Аппарат оториноларингологический Chammed для промывания с принадлежностями;БП-001040;МСК-СВЛ Хирургическое отделение №1;11.04.2023
Кресло медицинское ATMOS Chair E2;УПК006554;МСК-СВЛ Хирургическое отделение №1;25.06.2013
Коагулятор хирургический, модель RF-Magic II;УПК007924;МСК-СВЛ Хирургическое отделение №1;21.06.2019
Концентратор кислорода LF-H-10A;УПК007448;МСК-СВЛ Хирургическое отделение №1;28.12.2016
Аудиометр МА ;УПК006509;МСК-СВЛ Хирургическое отделение №1;25.06.2013
Фиброколоноскоп PENTAX FC-38FV;УПК006507;МСК-СВЛ Хирургическое отделение №1;31.03.2018
Кресло медицинское ATMOS Chair E с принадлежностями;УФА000104;МСК-СВЛ Хирургическое отделение №1;30.08.2011
Ларингоскоп 90 град., 10мм., без световода, длина 195мм;УПК005727;МСК-СВЛ Хирургическое отделение №1;28.04.2012
Аппарат наркозно-дыхательный Aespire с принадлежностями (с датчиком потока газовой смеси);УПК007446;МСК-СВЛ Хирургическое отделение №1;28.12.2016
Видеоколоноскоп Pentax EС-380Lkp;УПК006461;МСК-СВЛ Хирургическое отделение №1;24.03.2014
Ларингоскоп 90 град., 10мм., без световода, длина 195мм;УПК005725;МСК-СВЛ Хирургическое отделение №1;28.04.2012
"Стол общехирургический ""ОК - Гамма - 03""";УПК006160;МСК-СВЛ Хирургическое отделение №1;25.06.2013
Кресло медицинское ATMOS Chair E с сиденьем д/д;УПК005714;МСК-СВЛ Хирургическое отделение №1;28.04.2012
Шлифовальный станок Gravity 600 grinder;БП-001346;МСК-СВЛ Хирургическое отделение №1;18.03.2024
Кресло гинекологическое Gracie мод.GKB с принадлежностями;УПК006416;МСК-СВЛ Хирургическое отделение №1;25.06.2013
Анализатор i-STAT 1 Analyzer N300G для in vitro диагностики;УПК007444;МСК-СВЛ Хирургическое отделение №1;28.12.2016
Видео монитор 19 NDS EndoVue;УПК006450;МСК-СВЛ Хирургическое отделение №1;01.10.2013
Лор комбайн New Millenium Grand с принадлежностями;БП-001175;МСК-СВЛ Хирургическое отделение №1;01.08.2023
Система визуализации Endoscopic Visuai Imaging System Medistar;БП-001176;МСК-СВЛ Хирургическое отделение №1;01.08.2023
Блок дополнительной подачи воды OFP-2;БП-001178;МСК-СВЛ Хирургическое отделение №1;01.08.2023
"Прибор для электро-радиохирургии ""Сургитрон "" ";УПК007192;МСК-СВЛ Хирургическое отделение №1;09.06.2015
Кресло ATMOS Chair Comfort;БП-001204;МСК-СВЛ Хирургическое отделение №1;01.11.2023
Кресло гинекологическое Gracie мод.GKBK;УПК005699;МСК-СВЛ Хирургическое отделение №1;28.04.2012
Кресло врача ATMOS Chair Ten-o-mat 316;БП-001205;МСК-СВЛ Хирургическое отделение №1;01.11.2023
